text,rating,date,useful_votes,producto,text_clean,text_length,year_month
"Super rápido, muy conforme en cuanto precio y calidad!.",5,2024-11-08,1,Samsung A15,super rapido muy conforme en cuanto precio y calidad,9,2024-11
Buena relación precio calidad y es rápido al usarlo.,5,2024-11-08,1,Samsung A15,buena relacion precio calidad y es rapido al usarlo,9,2024-11
Hasta ahora bien. Lo estoy probando todavía.,5,2024-10-15,1,Samsung A15,hasta ahora bien lo estoy probando todavia,7,2024-10
"Cumple como telefóno ,biena velocidad para aplicaciones normales , buenas imagenes , lindo , no se tilda como el anterior asi que esta feliz mi hijo , se lo regale para su cumple. Lo recomiendo.",5,2024-10-05,1,Samsung A15,cumple como telefono biena velocidad para aplicaciones normales  buenas imagenes  lindo  no se tilda como el anterior asi que esta feliz mi hijo  se lo regale para su cumple lo recomiendo,31,2024-10
Muy buen producto.,5,2024-10-02,1,Samsung A15,muy buen producto,3,2024-10
Buenisimo.,5,2024-09-09,1,Samsung A15,buenisimo,1,2024-09
Excelente precio y muy lindo celular.,5,2024-09-09,1,Samsung A15,excelente precio y muy lindo celular,6,2024-09
Excelente producto.,5,2024-08-25,1,Samsung A15,excelente producto,2,2024-08
Feliz con la compra. Todo lo. Que esperaba y más.,5,2024-08-07,1,Samsung A15,feliz con la compra todo lo que esperaba y mas,10,2024-08
Exelente precio calidad.,5,2024-08-03,1,Samsung A15,exelente precio calidad,3,2024-08
"Hermoso. Me encanta,lo recomiendo.",5,2024-07-18,1,Samsung A15,hermoso me encantalo recomiendo,4,2024-07
Bueno.,5,2024-07-03,1,Samsung A15,bueno,1,2024-07
Calidad precio muy bueno.,5,2025-02-11,0,Samsung A15,calidad precio muy bueno,4,2025-02
Hermosa la cámara.,5,2025-02-18,0,Samsung A15,hermosa la camara,3,2025-02
"Excelente celular!. Lo uso para clases virtuales, pdf, uno que otro juego. La bateria le dura de 2 a 3 dias de acuerdo al uso.",5,2025-04-11,0,Samsung A15,excelente celular lo uso para clases virtuales pdf uno que otro juego la bateria le dura de 2 a 3 dias de acuerdo al uso,25,2025-04
"Esta hermoso , muy lindo todo. La bateria no me sorprendio del todo pero bueno es mas de lo que esperaba 😍🤗.",5,2025-02-25,0,Samsung A15,esta hermoso  muy lindo todo la bateria no me sorprendio del todo pero bueno es mas de lo que esperaba ,20,2025-02
Muy buena calidad. Llevo una semana usándolo. Muy buena cámara y sonido. Buena resolución de pantalla y táctil. Lo mejor.,5,2025-02-15,0,Samsung A15,muy buena calidad llevo una semana usandolo muy buena camara y sonido buena resolucion de pantalla y tactil lo mejor,20,2025-02
"Bueno, ya es la segunda vez que utilizo el seguro de mercado pago y 10 puntos, si compras el teléfono te lo recomiendo mil veces, esta vez me robaron y a los 3 días me devolvieron el valor total y me lo volví a comprar. El celular bien, me parece que la batería no le dura tanto y la cámara frontal es muy buena, la cámara trasera normal como todas. No es un teléfono grande, sino al contrario, y tuve un par de problemas porque se me trababa un poco al usarlo, pero después muy lindo! por algo me lo volví a comprar.",5,2025-01-16,0,Samsung A15,bueno ya es la segunda vez que utilizo el seguro de mercado pago y 10 puntos si compras el telefono te lo recomiendo mil veces esta vez me robaron y a los 3 dias me devolvieron el valor total y me lo volvi a comprar el celular bien me parece que la bateria no le dura tanto y la camara frontal es muy buena la camara trasera normal como todas no es un telefono grande sino al contrario y tuve un par de problemas porque se me trababa un poco al usarlo pero despues muy lindo por algo me lo volvi a comprar,103,2025-01
Es más amarillo pero con mí celular sale más claro jajaj. Lo recomiendo!!!.,5,2024-11-12,0,Samsung A15,es mas amarillo pero con mi celular sale mas claro jajaj lo recomiendo,13,2024-11
Estoy muy conforme.,5,2024-11-11,0,Samsung A15,estoy muy conforme,3,2024-11
"Trabajo en herrería, necesitaba un celu para guerrear el día a día, buena cámara para las redes y hacer publicidad. Hace 1 mes lo tengo y la verdad bárbaro. No trae cargador, asi que tuve que gastar en uno $35 000 y lo carga rapidísimo. Dura todo el día la bat.",5,2025-04-26,0,Samsung A15,trabajo en herreria necesitaba un celu para guerrear el dia a dia buena camara para las redes y hacer publicidad hace 1 mes lo tengo y la verdad barbaro no trae cargador asi que tuve que gastar en uno 35 000 y lo carga rapidisimo dura todo el dia la bat,51,2025-04
Muy lindo buena calidad.,5,2025-03-28,0,Samsung A15,muy lindo buena calidad,4,2025-03
"Excelente me encantoo, cumple con todo.",5,2025-03-25,0,Samsung A15,excelente me encantoo cumple con todo,6,2025-03
"Muy lindo, tiene una muy buena imagen, sonido y es rápido!.",5,2025-02-24,0,Samsung A15,muy lindo tiene una muy buena imagen sonido y es rapido,11,2025-02
Me encantó! lo único que se me hizo raro es el cable que vino. Tiene el tipo c de ambos lado y sin enchufe. Le tuve comprar el enchufe original y me salió 30mil pero el celular todo de diez. La bateria la cámara y todas sus funciones.,5,2025-02-23,0,Samsung A15,me encanto lo unico que se me hizo raro es el cable que vino tiene el tipo c de ambos lado y sin enchufe le tuve comprar el enchufe original y me salio 30mil pero el celular todo de diez la bateria la camara y todas sus funciones,48,2025-02
"Excelente celular por el precio , buena batería, saca fotos buenas , y los más que me encanta es que tiene nfc 👌.",5,2025-01-27,0,Samsung A15,excelente celular por el precio  buena bateria saca fotos buenas  y los mas que me encanta es que tiene nfc ,20,2025-01
